"1698-9465";"Archivos de Medicina";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0873-593X";"Arkeos Perspectivas em Diálogo";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1982-9930";"Arquiteturismo (São Paulo)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0102-0935";"Arquivo Brasileiro de Medicina Veterinária e Zootecnia";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"2047-2528";"Asian Journal of Business and Management Sciences";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1011-2367";"Asian-Australasian Journal of Animal Sciences (Print)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1976-5517";"Asian-Australians Journal of Animal Science";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1668-7515";"Astrolabio (Buenos Aires)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1809-0354";"Atos de Pesquisa em Educação (FURB)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1414-4077";"Avaliação (UNICAMP)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1677-0471";"Avaliação Psicológica (Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1519-7859";"Ação Ergonômica";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1807-7692";"BAR. Brazilian Administration Review";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1807-734X";"BBR. Brazilian Business Review (Edição em português. Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1808-2386";"BBR. Brazilian Business Review (English Edition. Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1472-6955";"BMC Nursing (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1471-2458";"BMC Public Health (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1414-9230";"BNDES Setorial";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1678-4456";"BRAZILIAN JOURNAL VETERINARY RES. AND ANIMAL SCIENCE";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1853-9580";"Badebec";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1984-8196";"Base (São Leopoldo. Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1807-054X";"Base (UNISINOS)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2315-6899";"Basic Research Journal of Business Management and Accounts";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1463-5771";"Benchmarking (Bradford)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"1138-9796";"Biblio 3w (Barcelona)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1809-4775";"Biblionline (João Pessoa)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"0961-9534";"Biomass & Bioenergy";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1537-5110";"Biosystems Engineering";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2237-8006";"Boletim Governet de Administração Pública e Gestão Municipal";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0102-549X";"Boletim Técnico do SENAC";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0067-9615";"Boletim de Indústria Animal (Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1981-4100";"Boletim de Indústria Animal (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1983-9774";"Boletim do Centro de Pesquisa e Processamento de Alimentos (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"0006-8705";"Bragantia (São Paulo, SP. Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1981-1640";"Brazilian Journal of Information Science";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1677-3235";"Brazilian Journal of Oral Sciences";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1980-2447";"Brazilian Review of Econometrics";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0007-070X";"British Food Journal (1966)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0007-1145";"British Journal of Nutrition";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0007-1234";"British Journal of Political Science (Print)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0007-1269";"British Journal of Psychology (1953)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2047-7031";"Business Management Dynamics";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1463-7154";"Business Process Management Journal";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"0213-8093";"C.I.R.I.E.C. España";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1481-4374";"CLC Web (Edmonton)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0103-4979";"Caderno CRH (UFBA. Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1677-6976";"Caderno Virtual de Turismo (UFRJ)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1516-1803";"Caderno de Administração (UEM)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B5"
"1679-3951";"Cadernos EBAPE.BR (FGV)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0104-7078";"Cadernos ENAP";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1984-4883";"Cadernos FGV Projetos";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"C"
"1806-2261";"Cadernos Gestão Pública e Cidadania";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"1982-5447";"Cadernos Gestão Social";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1679-0316";"Cadernos IHU Idéias (UNISINOS)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1414-462X";"Cadernos Saúde Coletiva (UFRJ)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0104-1096";"Cadernos de Ciência & Tecnologia";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0102-4248";"Cadernos de Estudos Sociais";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0104-9712";"Cadernos de Linguagem e Sociedade";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1983-1358";"Cadernos de Prospecção";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2317-0026";"Cadernos de Prospecção";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0102-311X";"Cadernos de Saúde Pública (ENSP. Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0104-4931";"Cadernos de Terapia Ocupacional da UFSCar";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1809-6271";"Campo - Território";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0825-0383";"Canadian Journal of the Administrative Sciences";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
"0340-7004";"Cancer Immunology and Immunotherapy";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"2177-4153";"Capital Científico";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1413-0904";"Carta Internacional (USP)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"2090-6889";"Case Reports in Rheumatology";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"0263-6484";"Cell Biochemistry and Function";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1413-4608";"Cerâmica Industrial (Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1809-127X";"Check List (São Paulo. Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1537-1506";"Chinese Business Review";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B5"
"1984-5529";"Científica (Jaboticabal. Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1982-0801";"Científica Cet-Faesa";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
